Protein_ID,Sequence_Length,Molecular_Weight_kDa,Isoelectric_Point,Hydrophobicity,Secondary_Structure,Buffer_Type,Precipitant_Type,Precipitant_Concentration_%,pH,Temperature_C,Crystallization_Method,Crystallized
P04779,825,55.24,4.43,-0.682,Alpha,Tris,Ammonium sulfate,30.67,7.6,37,Sitting-drop,1
P04780,515,54.17,6.58,0.333,Mixed,Phosphate,MPD,23.37,6.5,37,Counter-diffusion,1
P04781,61,87.02,5.57,0.073,Mixed,Citrate,PEG 3350,32.05,9.4,4,Vapor diffusion,0
P04782,680,47.26,6.92,0.61,Mixed,HEPES,MPD,18.19,5.9,4,Hanging-drop,1
P04783,976,22.0,6.43,-0.361,Mixed,Tris,MPD,32.29,7.8,4,Vapor diffusion,1
P04784,339,99.78,8.96,-0.341,Mixed,HEPES,MPD,26.82,4.7,4,Free interface diffusion,1
P04785,899,128.4,5.48,-0.699,Alpha,Tris,PEG 3350,35.17,4.3,37,Counter-diffusion,0
P04786,809,140.08,5.21,0.305,Alpha,Phosphate,PEG 3350,36.23,7.4,25,Vapor diffusion,0
P04787,403,146.02,9.75,0.418,Beta,Tris,Ethanol,18.61,5.4,4,Counter-diffusion,0
P04788,688,118.26,9.7,-0.723,Alpha,Tris,Ethanol,15.07,9.0,25,Counter-diffusion,0
P04789,124,25.26,9.96,-0.492,Beta,Citrate,MPD,14.8,4.1,25,Vapor diffusion,0
P04790,922,128.7,7.41,-0.691,Beta,HEPES,Ethanol,16.41,9.2,37,Vapor diffusion,1
P04791,765,62.99,4.68,0.495,Mixed,Citrate,Ammonium sulfate,6.77,4.1,25,Hanging-drop,0
P04792,610,110.84,9.28,-0.582,Alpha,Phosphate,PEG 3350,37.59,7.6,4,Batch under oil,0
P04793,640,82.03,4.87,-0.696,Alpha,HEPES,Ammonium sulfate,9.34,8.6,25,Free interface diffusion,0
P04794,490,125.15,4.93,-0.86,Mixed,Phosphate,PEG 3350,35.73,6.4,4,Vapor diffusion,1
P04795,290,66.7,5.16,0.663,Mixed,Tris,PEG 3350,22.06,7.6,20,Sitting-drop,1
P04796,910,13.96,7.92,-0.752,Beta,Phosphate,PEG 3350,36.51,5.6,4,Sitting-drop,0
P04797,203,85.74,4.64,-0.941,Alpha,HEPES,PEG 3350,37.64,6.6,37,Counter-diffusion,0
P04798,835,29.84,8.67,-0.871,Alpha,HEPES,PEG 3350,33.74,5.0,25,Hanging-drop,0
P04799,145,145.0,4.35,-0.266,Beta,HEPES,PEG 3350,19.24,5.3,25,Microbatch,0
P04800,775,81.41,4.66,0.193,Beta,Citrate,MPD,19.44,8.9,20,Free interface diffusion,0
P04801,343,85.27,6.61,-0.204,Beta,Tris,PEG 3350,38.82,7.9,20,Vapor diffusion,1
P04802,258,136.55,6.28,-0.089,Mixed,HEPES,Ethanol,16.79,8.6,4,Counter-diffusion,1
P04803,392,95.56,9.94,0.839,Beta,Phosphate,MPD,19.39,6.2,4,Microbatch,0
P04804,137,48.9,9.8,0.518,Beta,Phosphate,Ethanol,15.18,4.7,4,Counter-diffusion,0
P04805,867,47.93,5.14,-0.318,Mixed,Phosphate,Ammonium sulfate,22.98,9.0,37,Vapor diffusion,1
P04806,825,77.73,9.68,-0.691,Beta,HEPES,PEG 3350,26.37,9.3,20,Batch under oil,0
P04807,986,130.66,8.15,0.498,Beta,HEPES,Ammonium sulfate,28.21,8.7,4,Sitting-drop,1
P04808,439,120.24,6.45,0.147,Alpha,Phosphate,Ethanol,10.55,7.1,20,Dialysis,0
P04809,374,144.6,8.44,0.924,Beta,Phosphate,MPD,17.13,6.8,20,Free interface diffusion,0
P04810,989,15.42,9.4,0.817,Beta,Tris,Ammonium sulfate,39.86,8.9,25,Counter-diffusion,0
P04811,938,43.91,5.08,0.127,Mixed,HEPES,Ammonium sulfate,7.51,6.3,20,Free interface diffusion,1
P04812,881,16.63,5.18,-0.86,Beta,Phosphate,PEG 3350,18.03,7.2,20,Counter-diffusion,0
P04813,206,113.91,6.45,-0.938,Alpha,HEPES,Ammonium sulfate,12.41,6.3,20,Sitting-drop,1
P04814,717,25.42,5.02,0.675,Alpha,Tris,Ammonium sulfate,14.86,4.4,37,Microbatch,0
P04815,700,19.48,6.16,0.396,Mixed,Citrate,Ammonium sulfate,21.35,8.9,4,Dialysis,1
P04816,682,86.44,7.87,0.12,Alpha,HEPES,Ethanol,39.53,8.0,20,Batch under oil,0
P04817,626,64.67,8.88,0.378,Mixed,HEPES,PEG 3350,33.43,6.6,37,Hanging-drop,1
P04818,668,108.69,5.81,0.08,Alpha,Tris,PEG 3350,13.42,4.9,20,Dialysis,0
P04819,708,75.62,5.69,0.157,Alpha,HEPES,PEG 3350,9.81,5.0,20,Microbatch,0
P04820,186,66.67,8.68,-0.548,Beta,Phosphate,MPD,26.22,7.7,25,Vapor diffusion,1
P04821,972,66.7,6.29,-0.089,Mixed,Tris,PEG 3350,35.67,9.2,4,Batch under oil,0
P04822,723,131.42,8.91,-0.978,Beta,Citrate,Ethanol,12.01,6.4,37,Sitting-drop,0
P04823,477,62.31,9.96,0.337,Mixed,Tris,PEG 3350,11.83,6.4,4,Batch under oil,1
P04824,501,53.34,9.88,-0.335,Beta,Phosphate,Ammonium sulfate,28.94,7.8,20,Dialysis,1
P04825,661,54.09,7.98,0.313,Alpha,HEPES,Ethanol,15.4,8.7,4,Hanging-drop,0
P04826,899,33.51,6.25,0.853,Beta,Tris,Ammonium sulfate,6.45,8.4,4,Batch under oil,0
P04827,960,129.8,4.39,0.183,Alpha,Phosphate,Ethanol,15.59,7.9,37,Counter-diffusion,0
P04828,868,26.26,8.43,-0.344,Mixed,Phosphate,PEG 3350,12.37,5.4,25,Microbatch,0
P04829,190,136.75,9.87,-0.586,Mixed,Phosphate,MPD,16.47,4.9,25,Vapor diffusion,1
P04830,132,46.1,4.41,-0.497,Alpha,Tris,PEG 3350,33.51,4.0,4,Batch under oil,0
P04831,226,135.42,4.04,0.975,Beta,Tris,Ethanol,28.57,9.3,25,Dialysis,1
P04832,247,119.67,8.99,0.231,Alpha,Tris,PEG 3350,14.79,6.4,37,Batch under oil,0
P04833,673,89.39,4.61,-0.119,Beta,Citrate,Ethanol,19.3,5.1,4,Dialysis,0
P04834,617,102.07,4.49,-0.538,Alpha,Phosphate,PEG 3350,12.49,4.7,20,Dialysis,0
P04835,740,52.25,9.46,0.546,Alpha,Tris,Ethanol,24.38,4.8,4,Vapor diffusion,1
P04836,470,88.26,4.48,-0.225,Mixed,Tris,MPD,12.92,5.8,25,Vapor diffusion,1
P04837,450,47.4,4.68,-0.398,Beta,HEPES,PEG 3350,37.45,8.7,25,Sitting-drop,0
P04838,747,63.33,7.42,-0.555,Beta,HEPES,PEG 3350,14.44,9.3,25,Dialysis,0
P04839,520,115.88,8.54,-0.629,Alpha,Tris,Ethanol,29.92,6.8,20,Batch under oil,1
P04840,267,40.37,6.4,-0.453,Beta,Tris,Ammonium sulfate,18.79,5.8,37,Batch under oil,0
P04841,974,126.63,6.52,0.254,Alpha,Citrate,PEG 3350,36.28,5.0,4,Sitting-drop,0
P04842,978,59.5,7.8,-0.52,Alpha,HEPES,MPD,16.04,5.6,20,Batch under oil,0
P04843,877,82.16,7.03,-0.879,Beta,Citrate,Ethanol,5.56,7.4,4,Hanging-drop,0
P04844,778,141.58,4.11,-0.282,Beta,Tris,PEG 3350,8.71,9.2,25,Vapor diffusion,0
P04845,681,103.78,4.68,0.17,Alpha,Citrate,PEG 3350,7.38,6.7,25,Counter-diffusion,0
P04846,955,98.61,7.49,-0.88,Beta,Phosphate,Ammonium sulfate,15.85,4.8,4,Sitting-drop,0
P04847,224,108.18,8.76,-0.095,Beta,Citrate,MPD,28.53,9.2,4,Batch under oil,0
P04848,72,138.13,8.58,-0.895,Beta,HEPES,Ethanol,23.06,9.3,37,Hanging-drop,0
P04849,774,41.03,8.44,0.536,Beta,HEPES,Ammonium sulfate,13.72,8.9,4,Counter-diffusion,0
P04850,966,93.92,8.63,0.744,Mixed,HEPES,PEG 3350,39.96,8.7,4,Free interface diffusion,0
P04851,284,63.06,4.27,0.928,Mixed,HEPES,Ethanol,7.3,8.3,25,Free interface diffusion,0
P04852,62,6.72,9.37,0.383,Alpha,Tris,Ammonium sulfate,26.81,4.7,4,Vapor diffusion,1
P04853,150,23.17,9.34,0.264,Alpha,HEPES,MPD,33.06,5.8,4,Hanging-drop,0
P04854,978,52.12,7.19,0.388,Mixed,Tris,MPD,38.53,8.1,37,Vapor diffusion,1
P04855,585,86.92,5.49,0.709,Alpha,Phosphate,MPD,17.4,8.8,37,Sitting-drop,0
P04856,925,132.81,7.55,0.614,Mixed,HEPES,Ethanol,24.96,5.3,25,Counter-diffusion,1
P04857,572,119.71,7.35,-0.123,Alpha,Phosphate,PEG 3350,13.81,7.4,37,Batch under oil,0
P04858,834,85.23,5.34,0.302,Beta,Phosphate,PEG 3350,6.18,4.3,25,Sitting-drop,0
P04859,501,15.71,7.62,-0.676,Beta,Tris,Ammonium sulfate,23.12,8.7,25,Microbatch,0
P04860,480,46.46,8.78,0.39,Mixed,Citrate,PEG 3350,25.67,5.9,25,Free interface diffusion,0
P04861,842,58.17,8.84,0.462,Mixed,HEPES,MPD,14.63,5.1,4,Sitting-drop,1
P04862,655,95.15,4.36,0.603,Mixed,HEPES,MPD,13.13,8.6,20,Counter-diffusion,0
P04863,762,14.41,5.18,0.635,Mixed,Citrate,MPD,14.83,4.9,25,Microbatch,0
P04864,582,81.88,8.01,-0.12,Beta,HEPES,Ethanol,23.35,6.5,4,Batch under oil,1
P04865,901,135.71,9.16,0.807,Beta,Tris,PEG 3350,28.82,4.5,37,Vapor diffusion,1
P04866,772,107.29,7.13,0.962,Mixed,Citrate,MPD,30.22,6.4,37,Free interface diffusion,0
P04867,701,120.58,8.25,0.956,Mixed,HEPES,Ammonium sulfate,14.7,9.1,20,Vapor diffusion,1
P04868,342,103.84,4.13,0.172,Alpha,HEPES,PEG 3350,34.97,7.8,37,Sitting-drop,1
P04869,859,34.96,7.65,0.119,Beta,Tris,Ammonium sulfate,21.98,9.4,4,Hanging-drop,0
P04870,962,21.02,9.77,-0.085,Beta,HEPES,Ammonium sulfate,24.18,6.5,37,Dialysis,1
P04871,150,125.28,7.97,-0.4,Mixed,Tris,MPD,12.99,8.9,20,Dialysis,1
P04872,551,105.85,9.53,-0.332,Alpha,Phosphate,MPD,18.41,9.0,25,Free interface diffusion,0
P04873,353,88.38,7.4,-0.568,Beta,HEPES,MPD,6.81,4.5,37,Vapor diffusion,0
P04874,920,32.45,9.06,0.911,Alpha,Citrate,Ammonium sulfate,25.2,9.4,4,Vapor diffusion,0
P04875,589,92.49,4.74,0.24,Alpha,Tris,Ammonium sulfate,31.21,8.9,25,Batch under oil,0
P04876,602,9.54,4.74,0.869,Beta,Tris,MPD,24.02,7.4,4,Batch under oil,1
P04877,404,22.23,4.72,-0.226,Beta,HEPES,Ethanol,16.43,7.0,20,Microbatch,1
P04878,352,50.22,6.93,-0.404,Alpha,Tris,Ammonium sulfate,34.22,6.1,25,Batch under oil,0
P04879,545,69.34,5.98,-0.735,Alpha,Phosphate,MPD,7.02,7.2,25,Vapor diffusion,0
P04880,707,22.48,8.32,-0.4,Beta,Tris,MPD,13.71,8.1,20,Vapor diffusion,0
P04881,817,22.39,9.42,0.78,Mixed,Phosphate,Ethanol,6.75,7.9,20,Free interface diffusion,0
P04882,276,110.25,7.72,0.165,Alpha,Citrate,MPD,18.76,5.7,4,Vapor diffusion,0
P04883,285,87.61,5.28,-0.095,Beta,Tris,MPD,13.76,7.7,20,Microbatch,0
P04884,922,82.39,9.59,0.136,Alpha,Citrate,Ethanol,28.89,4.0,37,Hanging-drop,0
P04885,941,70.6,7.17,0.785,Beta,Phosphate,Ethanol,7.75,4.9,37,Counter-diffusion,0
P04886,504,146.6,8.32,-0.614,Alpha,Tris,PEG 3350,6.18,4.8,20,Counter-diffusion,0
P04887,62,12.22,9.34,0.931,Alpha,Phosphate,Ammonium sulfate,24.35,8.1,4,Batch under oil,0
P04888,259,31.19,9.94,0.332,Mixed,Phosphate,Ammonium sulfate,31.13,8.9,37,Counter-diffusion,0
P04889,790,98.89,7.04,0.711,Alpha,Citrate,PEG 3350,21.39,4.5,25,Dialysis,0
P04890,446,24.77,8.85,0.051,Alpha,Citrate,Ammonium sulfate,14.84,9.0,4,Batch under oil,0
P04891,149,90.46,7.4,-0.527,Alpha,Citrate,PEG 3350,22.45,5.7,25,Vapor diffusion,0
P04892,80,87.33,6.92,0.135,Beta,Phosphate,Ammonium sulfate,16.84,7.4,20,Counter-diffusion,0
P04893,947,145.8,7.23,-0.864,Beta,Phosphate,MPD,15.37,4.9,4,Sitting-drop,0
P04894,577,133.09,6.91,0.704,Beta,Citrate,Ethanol,20.65,6.2,4,Microbatch,0
P04895,698,142.11,6.53,0.299,Beta,Phosphate,Ethanol,26.49,6.5,37,Batch under oil,0
P04896,378,21.47,8.34,-0.434,Alpha,Citrate,Ethanol,25.25,6.1,37,Vapor diffusion,1
P04897,215,130.88,5.5,-0.451,Mixed,HEPES,Ammonium sulfate,8.79,8.5,37,Sitting-drop,1
P04898,508,23.72,7.7,0.806,Alpha,Tris,MPD,12.64,7.2,4,Microbatch,0
P04899,871,96.78,8.28,0.682,Alpha,HEPES,Ethanol,5.25,6.7,37,Sitting-drop,1
P04900,149,109.41,9.35,0.526,Mixed,Phosphate,PEG 3350,20.34,8.3,20,Dialysis,1
P04901,670,28.32,5.99,-0.17,Mixed,Tris,Ammonium sulfate,31.95,7.9,20,Vapor diffusion,1
P04902,904,96.74,9.16,0.745,Mixed,Phosphate,Ammonium sulfate,19.5,4.6,20,Free interface diffusion,0
P04903,222,12.61,9.67,-0.506,Mixed,Phosphate,MPD,39.98,6.8,20,Dialysis,1
P04904,798,47.52,7.89,-0.951,Mixed,Tris,Ammonium sulfate,31.26,8.4,4,Counter-diffusion,0
P04905,211,138.57,8.63,-0.134,Mixed,Phosphate,Ethanol,18.12,7.5,25,Counter-diffusion,1
P04906,954,29.9,6.43,0.839,Beta,Phosphate,Ethanol,39.06,7.9,25,Microbatch,0
P04907,777,14.46,9.71,0.142,Mixed,Phosphate,PEG 3350,27.42,7.2,25,Dialysis,1
P04908,825,69.33,8.03,-0.541,Mixed,Citrate,PEG 3350,37.18,9.1,4,Free interface diffusion,0
P04909,312,128.34,5.86,0.302,Mixed,Phosphate,Ammonium sulfate,8.06,6.8,25,Free interface diffusion,0
P04910,853,16.12,6.43,0.49,Mixed,Tris,PEG 3350,24.52,7.1,20,Vapor diffusion,1
P04911,323,56.55,7.71,0.101,Mixed,HEPES,Ammonium sulfate,36.8,8.8,4,Vapor diffusion,1
P04912,52,135.47,5.4,0.685,Beta,Tris,Ethanol,27.78,7.4,25,Vapor diffusion,1
P04913,77,22.13,8.52,0.185,Beta,Tris,MPD,39.59,6.4,4,Sitting-drop,1
P04914,375,50.05,5.35,-0.808,Beta,HEPES,Ethanol,39.85,5.4,25,Hanging-drop,0
P04915,989,117.87,7.55,0.619,Alpha,Phosphate,Ammonium sulfate,32.72,9.3,4,Vapor diffusion,0
P04916,198,83.77,8.18,-0.707,Mixed,HEPES,Ethanol,14.76,8.2,37,Hanging-drop,0
P04917,589,125.69,9.16,0.766,Beta,HEPES,Ethanol,34.87,4.5,20,Microbatch,0
P04918,537,21.18,8.4,0.044,Mixed,Citrate,MPD,29.62,4.7,37,Microbatch,0
P04919,871,138.48,8.79,0.464,Mixed,Citrate,Ethanol,8.72,5.1,25,Batch under oil,0
P04920,487,140.56,9.48,0.944,Beta,Tris,Ammonium sulfate,18.57,5.3,4,Hanging-drop,0
P04921,114,27.52,7.59,-0.136,Beta,Tris,PEG 3350,35.61,7.5,37,Microbatch,0
P04922,405,9.91,9.08,-0.081,Mixed,Citrate,MPD,29.77,6.9,37,Free interface diffusion,1
P04923,582,148.53,5.39,0.652,Mixed,HEPES,Ammonium sulfate,19.96,5.3,20,Hanging-drop,1
P04924,301,74.93,8.89,-0.78,Alpha,HEPES,Ammonium sulfate,26.46,4.8,37,Sitting-drop,1
P04925,284,87.95,5.33,-0.945,Beta,HEPES,Ethanol,37.79,7.8,20,Dialysis,1
P04926,276,94.31,9.61,0.209,Mixed,Phosphate,MPD,25.92,4.3,20,Sitting-drop,1
P04927,574,119.5,5.98,-0.665,Alpha,Citrate,MPD,12.97,5.2,4,Counter-diffusion,0
P04928,362,122.74,5.03,-0.489,Mixed,Phosphate,Ethanol,28.43,5.6,37,Counter-diffusion,0
P04929,98,33.12,4.89,0.953,Beta,HEPES,PEG 3350,14.32,5.0,37,Free interface diffusion,0
P04930,167,39.31,5.12,0.306,Mixed,Phosphate,MPD,26.67,7.2,4,Counter-diffusion,1
P04931,103,132.14,6.69,0.712,Beta,Tris,Ammonium sulfate,27.56,7.9,37,Free interface diffusion,1
P04932,699,123.83,7.13,0.796,Alpha,Citrate,PEG 3350,17.65,6.2,20,Dialysis,1
P04933,614,94.55,9.48,-0.757,Mixed,HEPES,MPD,30.92,4.9,4,Sitting-drop,1
P04934,93,149.23,6.29,0.856,Beta,Tris,PEG 3350,15.25,6.2,37,Free interface diffusion,1
P04935,864,111.6,5.3,0.733,Alpha,Phosphate,Ammonium sulfate,5.52,6.6,37,Vapor diffusion,0
P04936,102,36.3,8.46,-0.909,Alpha,Tris,PEG 3350,17.27,8.8,20,Dialysis,1
P04937,635,127.76,4.81,0.954,Beta,HEPES,MPD,35.18,6.9,25,Vapor diffusion,1
P04938,607,65.14,9.35,-0.083,Mixed,Citrate,MPD,25.19,4.3,37,Sitting-drop,1
P04939,574,10.24,6.46,0.949,Beta,Citrate,Ammonium sulfate,34.73,9.4,20,Vapor diffusion,0
P04940,726,51.61,7.68,0.648,Alpha,HEPES,Ammonium sulfate,9.5,5.0,4,Free interface diffusion,0
P04941,151,115.71,5.12,-0.12,Beta,Citrate,PEG 3350,11.75,6.9,37,Hanging-drop,0
P04942,841,144.23,4.87,0.023,Alpha,Tris,PEG 3350,10.76,5.9,37,Dialysis,0
P04943,819,45.04,8.79,-0.45,Alpha,HEPES,Ammonium sulfate,32.48,7.8,4,Vapor diffusion,1
P04944,898,40.74,6.58,-0.026,Alpha,Phosphate,MPD,26.43,5.0,25,Counter-diffusion,0
P04945,917,86.72,9.92,-0.785,Alpha,Citrate,Ethanol,16.77,6.8,4,Hanging-drop,0
P04946,447,122.69,7.15,0.817,Mixed,Phosphate,Ethanol,32.32,6.8,4,Dialysis,1
P04947,187,113.25,9.07,0.426,Alpha,Citrate,MPD,20.24,7.6,20,Free interface diffusion,0
P04948,724,86.19,9.88,0.61,Alpha,Citrate,MPD,26.55,7.2,37,Free interface diffusion,0
P04949,970,96.55,5.69,0.062,Alpha,HEPES,Ammonium sulfate,34.91,4.7,20,Hanging-drop,0
P04950,436,40.1,8.81,-0.749,Beta,HEPES,Ethanol,19.88,7.8,37,Counter-diffusion,1
P04951,160,67.72,4.13,0.074,Mixed,Tris,MPD,31.33,6.5,4,Dialysis,1
P04952,663,42.03,8.08,-0.342,Alpha,Phosphate,MPD,24.8,5.0,20,Microbatch,0
P04953,66,133.24,8.47,-0.98,Beta,Phosphate,MPD,36.77,6.2,20,Sitting-drop,0
P04954,829,21.32,6.86,0.23,Alpha,HEPES,PEG 3350,20.94,6.0,37,Sitting-drop,1
P04955,231,103.56,4.97,0.707,Mixed,HEPES,MPD,15.45,6.4,25,Sitting-drop,1
P04956,933,42.74,7.7,0.421,Mixed,Phosphate,PEG 3350,14.43,8.9,4,Sitting-drop,0
P04957,585,73.96,9.39,-0.553,Mixed,Phosphate,Ethanol,11.68,8.8,4,Free interface diffusion,0
P04958,590,48.41,9.59,0.638,Mixed,Citrate,MPD,17.48,4.1,37,Dialysis,1
P04959,220,51.87,8.48,-0.381,Beta,Citrate,MPD,20.2,6.8,25,Hanging-drop,0
P04960,458,42.76,5.58,-0.563,Mixed,HEPES,Ethanol,9.74,4.4,20,Vapor diffusion,1
P04961,789,114.15,9.22,0.922,Beta,Phosphate,Ammonium sulfate,30.75,4.2,4,Batch under oil,0
P04962,427,58.03,9.33,-0.967,Beta,Citrate,MPD,37.83,5.2,37,Counter-diffusion,0
P04963,237,110.32,6.2,-0.665,Mixed,Citrate,MPD,19.42,9.3,37,Hanging-drop,0
P04964,907,71.13,5.1,-0.066,Beta,Phosphate,PEG 3350,37.38,9.1,25,Counter-diffusion,0
P04965,279,84.35,9.25,-0.666,Beta,Phosphate,Ethanol,19.77,7.9,25,Free interface diffusion,0
P04966,882,83.78,9.31,-0.666,Mixed,HEPES,MPD,12.71,5.7,4,Free interface diffusion,0
P04967,901,146.5,4.61,0.269,Alpha,Phosphate,Ethanol,35.07,5.2,20,Sitting-drop,0
P04968,168,58.22,9.8,0.638,Alpha,HEPES,Ethanol,36.55,4.9,20,Microbatch,0
P04969,205,35.11,7.2,0.323,Beta,Citrate,MPD,27.35,4.1,4,Vapor diffusion,0
P04970,833,137.21,9.96,-0.797,Mixed,Tris,Ethanol,37.29,6.4,20,Counter-diffusion,1
P04971,736,30.35,6.67,0.791,Mixed,Tris,MPD,17.2,7.3,25,Sitting-drop,1
P04972,514,125.99,7.2,0.845,Mixed,Phosphate,PEG 3350,16.16,7.3,37,Free interface diffusion,1
P04973,153,26.78,5.6,-0.438,Alpha,HEPES,Ammonium sulfate,34.92,7.9,25,Vapor diffusion,1
P04974,653,100.52,9.39,0.106,Beta,Tris,PEG 3350,14.83,6.8,4,Counter-diffusion,0
P04975,747,26.83,6.66,-0.03,Mixed,Citrate,Ammonium sulfate,35.32,6.9,4,Hanging-drop,0
P04976,844,138.85,8.89,0.336,Beta,Citrate,Ethanol,13.34,9.3,4,Dialysis,0
P04977,551,86.93,4.48,0.956,Mixed,HEPES,Ethanol,29.32,7.1,37,Sitting-drop,1
P04978,742,52.74,8.73,0.973,Mixed,Tris,Ammonium sulfate,33.64,8.8,4,Microbatch,0
P04979,731,25.35,6.94,0.018,Mixed,Citrate,Ethanol,35.38,4.7,37,Counter-diffusion,0
P04980,748,58.82,4.03,-0.816,Beta,Citrate,PEG 3350,38.78,8.5,25,Sitting-drop,0
P04981,224,107.23,5.36,-0.331,Alpha,Phosphate,MPD,15.51,7.8,37,Microbatch,0
P04982,783,60.82,5.16,-0.173,Alpha,Tris,Ammonium sulfate,24.05,4.0,37,Sitting-drop,1
P04983,794,40.68,8.51,0.069,Beta,Phosphate,MPD,38.48,5.2,37,Vapor diffusion,0
P04984,723,88.72,6.86,0.921,Mixed,Citrate,MPD,5.36,5.2,4,Microbatch,0
P04985,470,65.58,4.96,-0.475,Alpha,Citrate,Ethanol,26.54,6.2,20,Hanging-drop,0
P04986,183,29.04,5.54,0.073,Alpha,Tris,Ethanol,10.23,6.2,37,Vapor diffusion,1
P04987,440,27.33,7.02,-0.418,Beta,Tris,Ethanol,20.41,5.9,37,Batch under oil,0
P04988,785,107.58,4.12,0.839,Beta,HEPES,MPD,7.94,6.4,37,Dialysis,1
P04989,550,146.33,6.54,0.98,Beta,Tris,Ammonium sulfate,16.77,8.5,20,Counter-diffusion,0
P04990,714,38.8,8.07,0.741,Mixed,HEPES,PEG 3350,29.21,4.3,4,Vapor diffusion,1
P04991,82,117.11,7.11,-0.323,Mixed,Phosphate,PEG 3350,33.41,8.7,4,Hanging-drop,0
P04992,104,17.7,7.59,-0.444,Beta,Tris,Ethanol,24.64,9.1,20,Sitting-drop,1
P04993,568,60.33,5.96,-0.138,Beta,Phosphate,MPD,20.27,4.9,4,Counter-diffusion,0
P04994,805,78.47,5.1,0.495,Alpha,Phosphate,Ammonium sulfate,16.99,6.0,4,Dialysis,1
P04995,874,43.97,8.86,-0.981,Alpha,HEPES,Ammonium sulfate,36.74,7.6,20,Microbatch,0
P04996,687,81.79,9.43,0.99,Beta,Citrate,MPD,11.91,9.4,37,Hanging-drop,0
P04997,61,132.98,7.06,0.767,Beta,HEPES,MPD,28.94,8.8,20,Dialysis,1
P04998,577,141.94,5.83,-0.952,Beta,HEPES,Ammonium sulfate,9.93,8.1,25,Batch under oil,0
P04999,769,19.58,7.07,-0.236,Alpha,Phosphate,Ethanol,36.49,9.2,20,Sitting-drop,0
P05000,604,44.42,9.27,0.376,Alpha,Citrate,MPD,14.99,9.4,25,Dialysis,0
P05001,422,146.97,8.15,-0.517,Mixed,Tris,PEG 3350,18.0,8.9,37,Vapor diffusion,1
P05002,533,44.21,9.15,-0.714,Alpha,Tris,MPD,11.41,5.0,37,Free interface diffusion,0
P05003,696,105.44,5.97,0.259,Alpha,Phosphate,Ammonium sulfate,37.69,7.9,37,Microbatch,0
P05004,277,41.75,8.27,0.807,Beta,HEPES,PEG 3350,36.07,6.2,37,Microbatch,0
P05005,672,56.67,7.92,0.911,Beta,Tris,Ammonium sulfate,21.56,8.5,4,Dialysis,1
P05006,356,32.74,7.43,-0.979,Mixed,HEPES,Ammonium sulfate,6.05,4.3,25,Hanging-drop,0
P05007,506,129.16,7.17,0.749,Beta,Citrate,PEG 3350,36.66,8.6,25,Dialysis,0
P05008,209,132.98,7.31,0.122,Beta,Tris,MPD,38.69,5.6,4,Dialysis,0
P05009,380,48.05,9.1,-0.525,Alpha,Tris,Ammonium sulfate,7.45,8.2,20,Sitting-drop,0
P05010,825,124.42,9.5,0.234,Beta,Tris,PEG 3350,26.31,4.9,4,Counter-diffusion,0
P05011,274,56.95,4.68,0.992,Alpha,Phosphate,Ammonium sulfate,38.45,4.3,25,Batch under oil,0
P05012,778,19.36,7.41,-0.448,Alpha,Citrate,PEG 3350,29.38,7.6,20,Counter-diffusion,0
P05013,553,114.92,9.51,-0.446,Beta,HEPES,Ethanol,23.07,6.4,20,Counter-diffusion,1
P05014,505,91.48,4.81,0.398,Beta,HEPES,Ammonium sulfate,16.97,8.7,25,Dialysis,1
P05015,94,44.79,6.48,-0.914,Alpha,Citrate,Ammonium sulfate,30.9,9.0,25,Microbatch,0
P05016,263,41.68,4.53,0.641,Mixed,HEPES,PEG 3350,39.57,6.2,25,Sitting-drop,1
P05017,108,146.47,4.68,0.305,Beta,Phosphate,PEG 3350,27.37,7.4,4,Dialysis,1
P05018,693,130.06,9.42,0.682,Alpha,HEPES,PEG 3350,22.67,5.5,37,Dialysis,1
P05019,665,122.42,6.68,-0.539,Alpha,Phosphate,PEG 3350,10.88,5.4,20,Microbatch,0
P05020,244,23.56,8.13,0.694,Beta,Phosphate,MPD,35.14,8.7,25,Batch under oil,0
P05021,974,114.5,4.83,-0.103,Alpha,Citrate,MPD,18.43,4.8,20,Counter-diffusion,0
P05022,538,36.11,4.13,-0.735,Beta,Phosphate,MPD,31.93,6.4,20,Sitting-drop,0
P05023,206,146.72,9.34,0.803,Mixed,Tris,Ethanol,17.17,6.5,4,Free interface diffusion,1
P05024,659,12.55,7.45,0.41,Mixed,Phosphate,Ammonium sulfate,9.23,7.2,20,Dialysis,1
P05025,275,56.06,4.12,-0.663,Alpha,HEPES,MPD,28.4,7.5,4,Free interface diffusion,1
P05026,461,67.15,9.95,-0.507,Beta,Citrate,MPD,24.1,6.4,37,Microbatch,0
P05027,254,124.51,6.95,-0.462,Beta,HEPES,Ammonium sulfate,10.28,6.4,20,Hanging-drop,0
P05028,128,116.1,6.86,0.927,Mixed,Tris,MPD,34.03,7.4,20,Hanging-drop,1
P05029,173,59.37,7.73,0.772,Mixed,Phosphate,Ammonium sulfate,15.59,7.9,25,Dialysis,1
P05030,520,87.01,4.05,-0.307,Beta,Tris,Ethanol,20.5,8.4,20,Dialysis,1
P05031,989,126.16,7.41,-0.067,Alpha,Phosphate,PEG 3350,22.39,7.8,4,Batch under oil,0
P05032,267,7.64,7.78,-0.429,Beta,Tris,Ethanol,13.62,4.0,25,Microbatch,0
